poll_id,pollster_id,pollster,sponsor_ids,sponsors,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,display_name,mode,state,start_date,end_date,internal,partisan,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,updated_at,notes,url,url_article,url_topline,url_crosstab,institution,yes,no,alternate_answers
50752,568,YouGov,,The Economist,NA,NA,NA,YouGov,Online Matched Sample,NA,2017-12-31T00:00:00Z,2018-01-02T00:00:00Z,FALSE,NA,85818,1277,rv,NA,rv,FALSE,2025-04-28 19:33:15 UTC,2025-04-28 19:33:15 UTC,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/fzbo62v6dm/econTabReport.pdf,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/fzbo62v6dm/econTabReport.pdf,Congress,15,64,0
50758,241,Ipsos,,Reuters,NA,NA,NA,Ipsos,Probability Panel,NA,2017-12-30T00:00:00Z,2018-01-03T00:00:00Z,FALSE,NA,85366,477,a,NA,a,TRUE,2025-04-28 19:33:39 UTC,2025-04-28 19:33:39 UTC,NA,http://polling.reuters.com/#!response/TM1178Y17/type/smallest,NA,NA,NA,Congress,24,63.3,12.8
50758,241,Ipsos,,Reuters,NA,NA,NA,Ipsos,Probability Panel,NA,2017-12-30T00:00:00Z,2018-01-03T00:00:00Z,FALSE,NA,84869,391,rv,NA,rv,TRUE,2025-04-28 19:33:39 UTC,2025-04-28 19:33:39 UTC,NA,http://polling.reuters.com/#!response/TM1178Y17/type/smallest/filters/PD1:1,NA,NA,NA,Congress,25.8,66,8.7
50757,241,Ipsos,,Reuters,NA,NA,NA,Ipsos,Probability Panel,NA,2017-12-31T00:00:00Z,2018-01-04T00:00:00Z,FALSE,NA,85365,633,a,NA,a,TRUE,2025-04-28 19:33:39 UTC,2025-04-28 19:33:39 UTC,NA,http://polling.reuters.com/#!response/TM1178Y17/type/smallest,NA,NA,NA,Congress,25.1,61.9,13
50757,241,Ipsos,,Reuters,NA,NA,NA,Ipsos,Probability Panel,NA,2017-12-31T00:00:00Z,2018-01-04T00:00:00Z,FALSE,NA,84868,529,rv,NA,rv,TRUE,2025-04-28 19:33:24 UTC,2025-04-28 19:33:24 UTC,NA,http://polling.reuters.com/#!response/TM1178Y17/type/smallest/filters/PD1:1,NA,NA,NA,Congress,26.8,64.5,8.7
50779,241,Ipsos,,Reuters,NA,NA,NA,Ipsos,Probability Panel,NA,2018-01-01T00:00:00Z,2018-01-05T00:00:00Z,FALSE,NA,85364,803,a,NA,a,TRUE,2025-04-28 19:33:39 UTC,2025-04-28 19:33:39 UTC,NA,http://polling.reuters.com/#!response/TM1178Y17/type/smallest,NA,NA,NA,Congress,24.7,62.4,12.8
50779,241,Ipsos,,Reuters,NA,NA,NA,Ipsos,Probability Panel,NA,2018-01-01T00:00:00Z,2018-01-05T00:00:00Z,FALSE,NA,84867,674,rv,NA,rv,TRUE,2025-04-28 19:33:39 UTC,2025-04-28 19:33:39 UTC,NA,http://polling.reuters.com/#!response/TM1178Y17/type/smallest/filters/PD1:1,NA,NA,NA,Congress,26,65.5,8.5
50778,241,Ipsos,,Reuters,NA,NA,NA,Ipsos,Probability Panel,NA,2018-01-02T00:00:00Z,2018-01-06T00:00:00Z,FALSE,NA,84866,690,rv,NA,rv,TRUE,2025-04-28 19:33:24 UTC,2025-04-28 19:33:24 UTC,NA,http://polling.reuters.com/#!response/TM1178Y17/type/smallest/filters/PD1:1,NA,NA,NA,Congress,27.2,65,7.8
50778,241,Ipsos,,Reuters,NA,NA,NA,Ipsos,Probability Panel,NA,2018-01-02T00:00:00Z,2018-01-06T00:00:00Z,FALSE,NA,85363,808,a,NA,a,TRUE,2025-04-28 19:33:24 UTC,2025-04-28 19:33:24 UTC,NA,http://polling.reuters.com/#!response/TM1178Y17/type/smallest,NA,NA,NA,Congress,25.4,62.9,11.7
50777,241,Ipsos,,Reuters,NA,NA,NA,Ipsos,Probability Panel,NA,2018-01-03T00:00:00Z,2018-01-07T00:00:00Z,FALSE,NA,84865,675,rv,NA,rv,TRUE,2025-04-28 19:33:24 UTC,2025-04-28 19:33:24 UTC,NA,http://polling.reuters.com/#!response/TM1178Y17/type/smallest/filters/PD1:1,NA,NA,NA,Congress,26.5,66,7.5
50768,169,Gallup,,NA,NA,NA,NA,Gallup,Live Phone,NA,2018-01-02T00:00:00Z,2018-01-07T00:00:00Z,FALSE,NA,85819,1024,a,NA,a,FALSE,2025-04-28 19:33:16 UTC,2025-04-28 19:33:16 UTC,NA,http://news.gallup.com/opinion/polling-matters/225749/looming-shutdown-further-damage-government-image.aspx,NA,NA,NA,Congress,20,75,0
50777,241,Ipsos,,Reuters,NA,NA,NA,Ipsos,Probability Panel,NA,2018-01-03T00:00:00Z,2018-01-07T00:00:00Z,FALSE,NA,85362,780,a,NA,a,TRUE,2025-04-28 19:33:39 UTC,2025-04-28 19:33:39 UTC,NA,http://polling.reuters.com/#!response/TM1178Y17/type/smallest,NA,NA,NA,Congress,25.3,64,10.6
50776,241,Ipsos,,Reuters,NA,NA,NA,Ipsos,Probability Panel,NA,2018-01-04T00:00:00Z,2018-01-08T00:00:00Z,FALSE,NA,85361,792,a,NA,a,TRUE,2025-04-28 19:33:27 UTC,2025-04-28 19:33:27 UTC,NA,http://polling.reuters.com/#!response/TM1178Y17/type/smallest,NA,NA,NA,Congress,24.7,64.1,11.2
50776,241,Ipsos,,Reuters,NA,NA,NA,Ipsos,Probability Panel,NA,2018-01-04T00:00:00Z,2018-01-08T00:00:00Z,FALSE,NA,84864,674,rv,NA,rv,TRUE,2025-04-28 19:33:27 UTC,2025-04-28 19:33:27 UTC,NA,http://polling.reuters.com/#!response/TM1178Y17/type/smallest/filters/PD1:1,NA,NA,NA,Congress,24.9,67.5,7.6
