poll_id,pollster_id,pollster,sponsor_ids,sponsors,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,display_name,mode,state,start_date,end_date,internal,partisan,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,updated_at,notes,url,url_article,url_topline,url_crosstab,politician_id,politician,favorable,unfavorable,alternate_answers
57244,1189,Morning Consult,,,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2019-01-04T00:00:00Z,2019-01-06T00:00:00Z,FALSE,NA,114722,1989,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:45 UTC,NA,https://www.politico.com/f/?id=00000168-2f52-db11-ab7d-3ffb937f0002,NA,NA,NA,11,Donald Trump,42,52,6
57286,568,YouGov,,,NA,NA,NA,YouGov,Online Matched Sample,NA,2019-01-06T00:00:00Z,2019-01-08T00:00:00Z,FALSE,NA,114797,1295,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:46 UTC,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/f0al8raalq/econTabReport.pdf,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/f0al8raalq/econTabReport.pdf,11,Donald Trump,44,54,2
57316,396,Quinnipiac,,,NA,NA,NA,Quinnipiac University,Live Phone,NA,2019-01-09T00:00:00Z,2019-01-13T00:00:00Z,FALSE,NA,114734,1209,rv,NA,rv,FALSE,2025-04-28 19:41:13 UTC,2025-05-02 14:18:09 UTC,NA,https://poll.qu.edu/poll-release-legacy?releaseid=2593,NA,NA,https://poll.qu.edu/poll-release-legacy?releaseid=2593,11,Donald Trump,41,56,2
57326,1189,Morning Consult,,,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2019-01-11T00:00:00Z,2019-01-14T00:00:00Z,FALSE,NA,114721,1984,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:45 UTC,NA,https://morningconsult.com/2019/01/17/polling-shows-ocasio-cortezs-rising-fame/,NA,NA,NA,11,Donald Trump,41,53,6
57330,568,YouGov,,,NA,NA,NA,YouGov,Online Matched Sample,NA,2019-01-12T00:00:00Z,2019-01-15T00:00:00Z,FALSE,NA,114796,1283,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:46 UTC,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/1xbksrgzje/econTabReport.pdf,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/1xbksrgzje/econTabReport.pdf,11,Donald Trump,44,54,2
57376,1508,Harris Poll,,,NA,NA,NA,Harris Poll,Online Opt-In Panel,NA,2019-01-15T00:00:00Z,2019-01-16T00:00:00Z,FALSE,NA,114665,1540,rv,NA,rv,FALSE,2025-04-28 19:39:45 UTC,2025-05-02 14:17:45 UTC,NA,https://harvardharrispoll.com/wp-content/uploads/2019/01/Jan2019_HHP_registeredvoters_xtabs.pdf,NA,NA,NA,11,Donald Trump,41,55,4
57365,383,PPP,,,NA,NA,NA,Public Policy Polling,IVR/Online Opt-In Panel,NA,2019-01-19T00:00:00Z,2019-01-21T00:00:00Z,FALSE,DEM,114732,760,rv,NA,rv,FALSE,2025-04-28 19:35:34 UTC,2025-05-02 14:16:43 UTC,NA,https://www.publicpolicypolling.com/wp-content/uploads/2019/01/PPP_Release_National_12219.pdf,NA,NA,NA,11,Donald Trump,40,57,3
57383,568,YouGov,,,NA,NA,NA,YouGov,Online Matched Sample,NA,2019-01-20T00:00:00Z,2019-01-22T00:00:00Z,FALSE,NA,114795,1254,rv,NA,rv,FALSE,2025-04-28 19:39:47 UTC,2025-05-02 14:17:46 UTC,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/183c0vbnai/econTabReport.pdf,NA,NA,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/183c0vbnai/econTabReport.pdf,11,Donald Trump,42,56,2
57380,1189,Morning Consult,,,NA,NA,NA,Morning Consult,Online Opt-In Panel,NA,2019-01-18T00:00:00Z,2019-01-22T00:00:00Z,FALSE,NA,114720,1996,rv,NA,rv,FALSE,2025-04-28 19:39:46 UTC,2025-05-02 14:17:45 UTC,NA,https://morningconsult.com/wp-content/uploads/2019/01/190140_crosstabs_POLITICO_RVs_v1_AP-3.pdf,NA,NA,https://morningconsult.com/wp-content/uploads/2019/01/190140_crosstabs_POLITICO_RVs_v1_AP-3.pdf,11,Donald Trump,40,55,6
57402,1292,Hart/POS,,,NA,NA,NA,Hart Research Associates/Public Opinion Strategies,Live Phone,NA,2019-01-20T00:00:00Z,2019-01-23T00:00:00Z,FALSE,NA,114730,900,a,NA,a,FALSE,2025-04-28 19:35:12 UTC,2025-05-02 14:16:37 UTC,NA,https://www.documentcloud.org/documents/5695327-19020-NBCWSJ-January-Poll-1.html,NA,NA,NA,11,Donald Trump,39,51,9
