poll_id,pollster_id,pollster,sponsor_ids,sponsors,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,display_name,mode,state,start_date,end_date,internal,partisan,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,updated_at,notes,url,url_article,url_topline,url_crosstab,race_id,cycle,office_type,seat_name,election_date,stage,party,answer,candidate_id,candidate_name,pct
82890,1802,VoteTXT,1990,Nevada Newsmakers,NA,NA,NA,VoteTXT,Text-to-Web,Nevada,2023-05-15T00:00:00Z,2023-05-19T00:00:00Z,FALSE,NA,173748,412,rv,NA,rv,FALSE,2025-04-28 20:09:03 UTC,2025-04-28 20:09:03 UTC,NA,http://nevadanewsmakers.com/survey/,NA,http://nevadanewsmakers.com/survey/,NA,10010,2026,Governor,Governor,2026-11-03T00:00:00Z,general,REP,Lombardo,31014,Joe Lombardo,50.68
82890,1802,VoteTXT,1990,Nevada Newsmakers,NA,NA,NA,VoteTXT,Text-to-Web,Nevada,2023-05-15T00:00:00Z,2023-05-19T00:00:00Z,FALSE,NA,173748,412,rv,NA,rv,FALSE,2025-04-28 20:09:03 UTC,2025-04-28 20:09:03 UTC,NA,http://nevadanewsmakers.com/survey/,NA,http://nevadanewsmakers.com/survey/,NA,10010,2026,Governor,Governor,2026-11-03T00:00:00Z,general,DEM,Ford,31013,Aaron D. Ford,29.7
84207,1497,co/efficient,2029,Founders Insight,NA,NA,NA,co/efficient,IVR/Text,Virginia,2023-09-07T00:00:00Z,2023-09-10T00:00:00Z,FALSE,REP,181954,834,lv,NA,lv,FALSE,2025-04-28 20:11:35 UTC,2025-04-28 20:11:35 UTC,NA,https://foundersinsight.com/more-virginians-will-likely-vote-early-than-on-election-day/,https://foundersinsight.com/more-virginians-will-likely-vote-early-than-on-election-day/,NA,https://mcusercontent.com/daa8fd5ba291e7dc63b2ff4e5/files/3f01c060-33ed-cc42-82ac-8c875266d391/Founders_Insight_ABEV_Full_Report_.pdf,10012,2025,Governor,Governor,2025-11-04T00:00:00Z,general,REP,Miyares,31080,Jason S. Miyares,22
84207,1497,co/efficient,2029,Founders Insight,NA,NA,NA,co/efficient,IVR/Text,Virginia,2023-09-07T00:00:00Z,2023-09-10T00:00:00Z,FALSE,REP,181954,834,lv,NA,lv,FALSE,2025-04-28 20:11:35 UTC,2025-04-28 20:11:35 UTC,NA,https://foundersinsight.com/more-virginians-will-likely-vote-early-than-on-election-day/,https://foundersinsight.com/more-virginians-will-likely-vote-early-than-on-election-day/,NA,https://mcusercontent.com/daa8fd5ba291e7dc63b2ff4e5/files/3f01c060-33ed-cc42-82ac-8c875266d391/Founders_Insight_ABEV_Full_Report_.pdf,10012,2025,Governor,Governor,2025-11-04T00:00:00Z,general,DEM,Spanberger,31079,Abigail A. Spanberger,26
84207,1497,co/efficient,2029,Founders Insight,NA,NA,NA,co/efficient,IVR/Text,Virginia,2023-09-07T00:00:00Z,2023-09-10T00:00:00Z,FALSE,REP,181955,834,lv,NA,lv,FALSE,2025-04-28 20:11:35 UTC,2025-04-28 20:11:35 UTC,NA,https://foundersinsight.com/more-virginians-will-likely-vote-early-than-on-election-day/,https://foundersinsight.com/more-virginians-will-likely-vote-early-than-on-election-day/,NA,https://mcusercontent.com/daa8fd5ba291e7dc63b2ff4e5/files/3f01c060-33ed-cc42-82ac-8c875266d391/Founders_Insight_ABEV_Full_Report_.pdf,10012,2025,Governor,Governor,2025-11-04T00:00:00Z,general,REP,Sears,31081,Winsome Sears,26
84207,1497,co/efficient,2029,Founders Insight,NA,NA,NA,co/efficient,IVR/Text,Virginia,2023-09-07T00:00:00Z,2023-09-10T00:00:00Z,FALSE,REP,181955,834,lv,NA,lv,FALSE,2025-04-28 20:11:35 UTC,2025-04-28 20:11:35 UTC,NA,https://foundersinsight.com/more-virginians-will-likely-vote-early-than-on-election-day/,https://foundersinsight.com/more-virginians-will-likely-vote-early-than-on-election-day/,NA,https://mcusercontent.com/daa8fd5ba291e7dc63b2ff4e5/files/3f01c060-33ed-cc42-82ac-8c875266d391/Founders_Insight_ABEV_Full_Report_.pdf,10012,2025,Governor,Governor,2025-11-04T00:00:00Z,general,DEM,Spanberger,31079,Abigail A. Spanberger,27
88265,1773,Research America,682,University of Mary Washington Center for Leadership & Media Studies,NA,NA,NA,Research America,Live Phone/Online Opt-In Panel,Virginia,2024-09-03T00:00:00Z,2024-09-09T00:00:00Z,FALSE,NA,210744,1000,a,NA,a,FALSE,2025-04-28 20:12:30 UTC,2025-04-28 20:12:30 UTC,NA,https://www.umw.edu/news/2024/09/24/a-look-ahead-at-the-2025-gubernatorial-contest-through-umw-center-for-leadership-and-media-studies-poll/,https://www.umw.edu/news/2024/09/24/a-look-ahead-at-the-2025-gubernatorial-contest-through-umw-center-for-leadership-and-media-studies-poll/,https://www.umw.edu/news/wp-content/uploads/sites/7/2024/09/UMW-Survey-Topline-Two-1.pdf,https://www.umw.edu/news/wp-content/uploads/sites/7/2024/09/Survey-Results-2024_16-page.pdf,10012,2025,Governor,Governor,2025-11-04T00:00:00Z,general,REP,Miyares,31080,Jason S. Miyares,39
88265,1773,Research America,682,University of Mary Washington Center for Leadership & Media Studies,NA,NA,NA,Research America,Live Phone/Online Opt-In Panel,Virginia,2024-09-03T00:00:00Z,2024-09-09T00:00:00Z,FALSE,NA,210744,1000,a,NA,a,FALSE,2025-04-28 20:12:30 UTC,2025-04-28 20:12:30 UTC,NA,https://www.umw.edu/news/2024/09/24/a-look-ahead-at-the-2025-gubernatorial-contest-through-umw-center-for-leadership-and-media-studies-poll/,https://www.umw.edu/news/2024/09/24/a-look-ahead-at-the-2025-gubernatorial-contest-through-umw-center-for-leadership-and-media-studies-poll/,https://www.umw.edu/news/wp-content/uploads/sites/7/2024/09/UMW-Survey-Topline-Two-1.pdf,https://www.umw.edu/news/wp-content/uploads/sites/7/2024/09/Survey-Results-2024_16-page.pdf,10012,2025,Governor,Governor,2025-11-04T00:00:00Z,general,DEM,Spanberger,31079,Abigail A. Spanberger,40
88265,1773,Research America,682,University of Mary Washington Center for Leadership & Media Studies,NA,NA,NA,Research America,Live Phone/Online Opt-In Panel,Virginia,2024-09-03T00:00:00Z,2024-09-09T00:00:00Z,FALSE,NA,210743,1000,a,NA,a,FALSE,2025-04-28 20:12:30 UTC,2025-04-28 20:12:30 UTC,NA,https://www.umw.edu/news/2024/09/24/a-look-ahead-at-the-2025-gubernatorial-contest-through-umw-center-for-leadership-and-media-studies-poll/,https://www.umw.edu/news/2024/09/24/a-look-ahead-at-the-2025-gubernatorial-contest-through-umw-center-for-leadership-and-media-studies-poll/,https://www.umw.edu/news/wp-content/uploads/sites/7/2024/09/UMW-Survey-Topline-Two-1.pdf,https://www.umw.edu/news/wp-content/uploads/sites/7/2024/09/Survey-Results-2024_16-page.pdf,10012,2025,Governor,Governor,2025-11-04T00:00:00Z,general,REP,Sears,31081,Winsome Sears,39
88265,1773,Research America,682,University of Mary Washington Center for Leadership & Media Studies,NA,NA,NA,Research America,Live Phone/Online Opt-In Panel,Virginia,2024-09-03T00:00:00Z,2024-09-09T00:00:00Z,FALSE,NA,210743,1000,a,NA,a,FALSE,2025-04-28 20:12:30 UTC,2025-04-28 20:12:30 UTC,NA,https://www.umw.edu/news/2024/09/24/a-look-ahead-at-the-2025-gubernatorial-contest-through-umw-center-for-leadership-and-media-studies-poll/,https://www.umw.edu/news/2024/09/24/a-look-ahead-at-the-2025-gubernatorial-contest-through-umw-center-for-leadership-and-media-studies-poll/,https://www.umw.edu/news/wp-content/uploads/sites/7/2024/09/UMW-Survey-Topline-Two-1.pdf,https://www.umw.edu/news/wp-content/uploads/sites/7/2024/09/Survey-Results-2024_16-page.pdf,10012,2025,Governor,Governor,2025-11-04T00:00:00Z,general,DEM,Spanberger,31079,Abigail A. Spanberger,39
