poll_id,pollster_id,pollster,sponsor_ids,sponsors,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,display_name,mode,state,start_date,end_date,internal,partisan,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,updated_at,notes,url,url_article,url_topline,url_crosstab,race_id,cycle,office_type,seat_name,election_date,stage,party,answer,candidate_id,candidate_name,pct
90051,1891,NextGen Polling,NA,NA,NA,NA,NA,NextGen Polling,Text-to-Web,Arizona,2025-02-26T00:00:00Z,2025-02-28T00:00:00Z,FALSE,NA,219687,892,lv,r,lv-r,FALSE,2025-06-09 13:09:28 UTC,2025-06-09 13:09:28 UTC,NA,https://nxtgenp.com/post/sheriff-mark-lamb-has-dominant-lead-in-prospective-az-05-republican-primary-poll,https://nxtgenp.com/post/sheriff-mark-lamb-has-dominant-lead-in-prospective-az-05-republican-primary-poll,NA,NA,16479,2026,U.S. House,District 5,2026-08-04T00:00:00Z,primary,REP,Lamb,38037,Mark Lamb,49
90051,1891,NextGen Polling,NA,NA,NA,NA,NA,NextGen Polling,Text-to-Web,Arizona,2025-02-26T00:00:00Z,2025-02-28T00:00:00Z,FALSE,NA,219687,892,lv,r,lv-r,FALSE,2025-06-09 13:09:28 UTC,2025-06-09 13:09:28 UTC,NA,https://nxtgenp.com/post/sheriff-mark-lamb-has-dominant-lead-in-prospective-az-05-republican-primary-poll,https://nxtgenp.com/post/sheriff-mark-lamb-has-dominant-lead-in-prospective-az-05-republican-primary-poll,NA,NA,16479,2026,U.S. House,District 5,2026-08-04T00:00:00Z,primary,REP,Lewis,38042,John Lewis,4
90051,1891,NextGen Polling,NA,NA,NA,NA,NA,NextGen Polling,Text-to-Web,Arizona,2025-02-26T00:00:00Z,2025-02-28T00:00:00Z,FALSE,NA,219687,892,lv,r,lv-r,FALSE,2025-06-09 13:09:28 UTC,2025-06-09 13:09:28 UTC,NA,https://nxtgenp.com/post/sheriff-mark-lamb-has-dominant-lead-in-prospective-az-05-republican-primary-poll,https://nxtgenp.com/post/sheriff-mark-lamb-has-dominant-lead-in-prospective-az-05-republican-primary-poll,NA,NA,16479,2026,U.S. House,District 5,2026-08-04T00:00:00Z,primary,REP,Hoffman,38043,Jake Hoffman,3
90051,1891,NextGen Polling,NA,NA,NA,NA,NA,NextGen Polling,Text-to-Web,Arizona,2025-02-26T00:00:00Z,2025-02-28T00:00:00Z,FALSE,NA,219687,892,lv,r,lv-r,FALSE,2025-06-09 13:09:28 UTC,2025-06-09 13:09:28 UTC,NA,https://nxtgenp.com/post/sheriff-mark-lamb-has-dominant-lead-in-prospective-az-05-republican-primary-poll,https://nxtgenp.com/post/sheriff-mark-lamb-has-dominant-lead-in-prospective-az-05-republican-primary-poll,NA,NA,16479,2026,U.S. House,District 5,2026-08-04T00:00:00Z,primary,REP,Olson,38044,Justin Olson,2
90051,1891,NextGen Polling,NA,NA,NA,NA,NA,NextGen Polling,Text-to-Web,Arizona,2025-02-26T00:00:00Z,2025-02-28T00:00:00Z,FALSE,NA,219687,892,lv,r,lv-r,FALSE,2025-06-09 13:09:28 UTC,2025-06-09 13:09:28 UTC,NA,https://nxtgenp.com/post/sheriff-mark-lamb-has-dominant-lead-in-prospective-az-05-republican-primary-poll,https://nxtgenp.com/post/sheriff-mark-lamb-has-dominant-lead-in-prospective-az-05-republican-primary-poll,NA,NA,16479,2026,U.S. House,District 5,2026-08-04T00:00:00Z,primary,REP,Grantham,38039,Travis Grantham,2
89629,383,PPP,NA,NA,37893,Adelita Grijalva,DEM,Public Policy Polling,IVR/Text,Arizona,2025-04-07T00:00:00Z,2025-04-08T00:00:00Z,TRUE,DEM,218777,527,lv,d,lv-d,FALSE,2025-04-29 14:08:45 UTC,2025-07-02 16:39:00 UTC,NA,https://punchbowl.news/az-cd-7-april-25-memo/,https://punchbowl.news/az-cd-7-april-25-memo/,NA,NA,17707,2025,U.S. House,District 7,2025-07-15T00:00:00Z,primary,DEM,Grijalva,37893,Adelita Grijalva,49
89629,383,PPP,NA,NA,37893,Adelita Grijalva,DEM,Public Policy Polling,IVR/Text,Arizona,2025-04-07T00:00:00Z,2025-04-08T00:00:00Z,TRUE,DEM,218777,527,lv,d,lv-d,FALSE,2025-04-29 14:08:45 UTC,2025-07-02 16:39:00 UTC,NA,https://punchbowl.news/az-cd-7-april-25-memo/,https://punchbowl.news/az-cd-7-april-25-memo/,NA,NA,17707,2025,U.S. House,District 7,2025-07-15T00:00:00Z,primary,DEM,Hernandez,37896,Daniel Hernandez,11
89629,383,PPP,NA,NA,37893,Adelita Grijalva,DEM,Public Policy Polling,IVR/Text,Arizona,2025-04-07T00:00:00Z,2025-04-08T00:00:00Z,TRUE,DEM,218777,527,lv,d,lv-d,FALSE,2025-04-29 14:08:45 UTC,2025-07-02 16:39:00 UTC,NA,https://punchbowl.news/az-cd-7-april-25-memo/,https://punchbowl.news/az-cd-7-april-25-memo/,NA,NA,17707,2025,U.S. House,District 7,2025-07-15T00:00:00Z,primary,DEM,Foxx,37895,Deja Foxx,5
90233,1365,Change Research,NA,NA,37895,Deja Foxx,DEM,Change Research,Text-to-Web/Online Ad,Arizona,2025-05-13T00:00:00Z,2025-05-16T00:00:00Z,TRUE,DEM,221159,530,lv,d,lv-d,FALSE,2025-07-02 16:45:13 UTC,2025-07-02 16:45:13 UTC,NA,https://docs.google.com/document/d/1fAs2O6hGbCevZff0fCuQyAURCLim3sN3wrwJzmZfkrU/edit?tab=t.0,NA,https://docs.google.com/document/d/1fAs2O6hGbCevZff0fCuQyAURCLim3sN3wrwJzmZfkrU/edit?tab=t.0,NA,17707,2025,U.S. House,District 7,2025-07-15T00:00:00Z,primary,DEM,Grijalva,37893,Adelita Grijalva,41
90233,1365,Change Research,NA,NA,37895,Deja Foxx,DEM,Change Research,Text-to-Web/Online Ad,Arizona,2025-05-13T00:00:00Z,2025-05-16T00:00:00Z,TRUE,DEM,221159,530,lv,d,lv-d,FALSE,2025-07-02 16:45:13 UTC,2025-07-02 16:45:13 UTC,NA,https://docs.google.com/document/d/1fAs2O6hGbCevZff0fCuQyAURCLim3sN3wrwJzmZfkrU/edit?tab=t.0,NA,https://docs.google.com/document/d/1fAs2O6hGbCevZff0fCuQyAURCLim3sN3wrwJzmZfkrU/edit?tab=t.0,NA,17707,2025,U.S. House,District 7,2025-07-15T00:00:00Z,primary,DEM,Foxx,37895,Deja Foxx,10
90233,1365,Change Research,NA,NA,37895,Deja Foxx,DEM,Change Research,Text-to-Web/Online Ad,Arizona,2025-05-13T00:00:00Z,2025-05-16T00:00:00Z,TRUE,DEM,221159,530,lv,d,lv-d,FALSE,2025-07-02 16:45:13 UTC,2025-07-02 16:45:13 UTC,NA,https://docs.google.com/document/d/1fAs2O6hGbCevZff0fCuQyAURCLim3sN3wrwJzmZfkrU/edit?tab=t.0,NA,https://docs.google.com/document/d/1fAs2O6hGbCevZff0fCuQyAURCLim3sN3wrwJzmZfkrU/edit?tab=t.0,NA,17707,2025,U.S. House,District 7,2025-07-15T00:00:00Z,primary,DEM,Hernandez,37896,Daniel Hernandez,16
90233,1365,Change Research,NA,NA,37895,Deja Foxx,DEM,Change Research,Text-to-Web/Online Ad,Arizona,2025-05-13T00:00:00Z,2025-05-16T00:00:00Z,TRUE,DEM,221159,530,lv,d,lv-d,FALSE,2025-07-02 16:45:13 UTC,2025-07-02 16:45:13 UTC,NA,https://docs.google.com/document/d/1fAs2O6hGbCevZff0fCuQyAURCLim3sN3wrwJzmZfkrU/edit?tab=t.0,NA,https://docs.google.com/document/d/1fAs2O6hGbCevZff0fCuQyAURCLim3sN3wrwJzmZfkrU/edit?tab=t.0,NA,17707,2025,U.S. House,District 7,2025-07-15T00:00:00Z,primary,DEM,Malvido,38082,Jose Malvido Jr.,1
90233,1365,Change Research,NA,NA,37895,Deja Foxx,DEM,Change Research,Text-to-Web/Online Ad,Arizona,2025-05-13T00:00:00Z,2025-05-16T00:00:00Z,TRUE,DEM,221159,530,lv,d,lv-d,FALSE,2025-07-02 16:45:13 UTC,2025-07-02 16:45:13 UTC,NA,https://docs.google.com/document/d/1fAs2O6hGbCevZff0fCuQyAURCLim3sN3wrwJzmZfkrU/edit?tab=t.0,NA,https://docs.google.com/document/d/1fAs2O6hGbCevZff0fCuQyAURCLim3sN3wrwJzmZfkrU/edit?tab=t.0,NA,17707,2025,U.S. House,District 7,2025-07-15T00:00:00Z,primary,DEM,Harris,38083,Patrick Harris Sr.,1
90028,383,PPP,NA,NA,38018,Yadira Caraveo,DEM,Public Policy Polling,IVR/Text,Colorado,2025-05-19T00:00:00Z,2025-05-20T00:00:00Z,TRUE,DEM,219647,467,rv,d,rv-d,FALSE,2025-05-30 13:42:11 UTC,2025-05-30 13:42:11 UTC,NA,https://www.coloradopolitics.com/colorado-in-dc/poll-shows-former-incumbent-yadira-caraveo-holds-wide-lead-in-colorados-8th-cd-democratic-primary/article_8dd105f7-96dd-4d74-b537-59e7934f3a2e.html,https://www.coloradopolitics.com/colorado-in-dc/poll-shows-former-incumbent-yadira-caraveo-holds-wide-lead-in-colorados-8th-cd-democratic-primary/article_8dd105f7-96dd-4d74-b537-59e7934f3a2e.html,NA,NA,16529,2026,U.S. House,District 8,2026-06-30T00:00:00Z,primary,DEM,Caraveo,38018,Yadira Caraveo,51
