poll_id,pollster_id,pollster,sponsor_ids,sponsors,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,display_name,mode,state,start_date,end_date,internal,partisan,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,updated_at,notes,url,url_article,url_topline,url_crosstab,institution,yes,no,alternate_answers
78174,568,YouGov,352,The Economist,NA,NA,NA,YouGov,Online Matched Sample,NA,2022-01-02T00:00:00Z,2022-01-04T00:00:00Z,FALSE,NA,156811,1201,rv,NA,rv,FALSE,2025-04-28 19:34:51 UTC,2025-04-28 19:34:51 UTC,NA,https://docs.cdn.yougov.com/g43s025yft/econTabReport.pdf,NA,NA,https://docs.cdn.yougov.com/g43s025yft/econTabReport.pdf,Scotus,38,44,18
78174,568,YouGov,352,The Economist,NA,NA,NA,YouGov,Online Matched Sample,NA,2022-01-02T00:00:00Z,2022-01-04T00:00:00Z,FALSE,NA,156810,1500,a,NA,a,FALSE,2025-04-28 19:34:51 UTC,2025-04-28 19:34:51 UTC,NA,https://docs.cdn.yougov.com/tyivpnrtkb/econToplines.pdf,NA,https://docs.cdn.yougov.com/tyivpnrtkb/econToplines.pdf,https://docs.cdn.yougov.com/g43s025yft/econTabReport.pdf,Scotus,34,42,24
78255,568,YouGov,352,The Economist,NA,NA,NA,YouGov,Online Matched Sample,NA,2022-01-08T00:00:00Z,2022-01-11T00:00:00Z,FALSE,NA,156902,1500,a,NA,a,FALSE,2025-04-28 19:34:51 UTC,2025-04-28 19:34:51 UTC,NA,https://docs.cdn.yougov.com/jv0vlnls0q/econToplines.pdf,NA,https://docs.cdn.yougov.com/jv0vlnls0q/econToplines.pdf,https://docs.cdn.yougov.com/vkklxli0e8/econTabReport.pdf,Scotus,33,43,24
78255,568,YouGov,352,The Economist,NA,NA,NA,YouGov,Online Matched Sample,NA,2022-01-08T00:00:00Z,2022-01-11T00:00:00Z,FALSE,NA,156903,1258,rv,NA,rv,FALSE,2025-04-28 19:34:51 UTC,2025-04-28 19:34:51 UTC,NA,https://docs.cdn.yougov.com/vkklxli0e8/econTabReport.pdf,NA,NA,https://docs.cdn.yougov.com/vkklxli0e8/econTabReport.pdf,Scotus,36,44,19
78292,568,YouGov,352,The Economist,NA,NA,NA,YouGov,Online Matched Sample,NA,2022-01-15T00:00:00Z,2022-01-18T00:00:00Z,FALSE,NA,156904,1500,a,NA,a,FALSE,2025-04-28 19:34:51 UTC,2025-04-28 19:34:51 UTC,NA,https://docs.cdn.yougov.com/wi5o5vh9zd/econToplines.pdf,NA,https://docs.cdn.yougov.com/wi5o5vh9zd/econToplines.pdf,https://docs.cdn.yougov.com/ltqi9v1qet/econTabReport.pdf,Scotus,36,43,21
78292,568,YouGov,352,The Economist,NA,NA,NA,YouGov,Online Matched Sample,NA,2022-01-15T00:00:00Z,2022-01-18T00:00:00Z,FALSE,NA,156905,1162,rv,NA,rv,FALSE,2025-04-28 19:34:51 UTC,2025-04-28 19:34:51 UTC,NA,https://docs.cdn.yougov.com/ltqi9v1qet/econTabReport.pdf,NA,NA,https://docs.cdn.yougov.com/ltqi9v1qet/econTabReport.pdf,Scotus,39,46,15
78347,1075,Marquette Law School,NA,NA,NA,NA,NA,Marquette University Law School,Probability Panel,NA,2022-01-10T00:00:00Z,2022-01-21T00:00:00Z,FALSE,NA,156480,1000,a,NA,a,FALSE,2025-04-28 19:34:50 UTC,2025-04-28 19:34:50 UTC,NA,https://law.marquette.edu/poll/2022/01/27/detailed-results-of-the-marquette-law-school-supreme-court-poll-january-10-21-2022/,https://law.marquette.edu/poll/2022/01/27/detailed-results-of-the-marquette-law-school-supreme-court-poll-january-10-21-2022/,"https://law.marquette.edu/poll/wp-content/uploads/2022/05/MLSPSC06Toplines.html#B1:_Biden_approval,_2-cat","https://law.marquette.edu/poll/wp-content/uploads/2022/01/MLSPSC06Crosstabs_CourtItems.html#B2:_Supreme_Court_approval,_2-cat",Scotus,52,46,2
78334,568,YouGov,352,The Economist,NA,NA,NA,YouGov,Online Matched Sample,NA,2022-01-22T00:00:00Z,2022-01-25T00:00:00Z,FALSE,NA,156906,1500,a,NA,a,FALSE,2025-04-28 19:34:52 UTC,2025-04-28 19:34:52 UTC,NA,https://docs.cdn.yougov.com/78j5izq7th/econToplines.pdf,NA,https://docs.cdn.yougov.com/78j5izq7th/econToplines.pdf,https://docs.cdn.yougov.com/idsbkknia1/econTabReport.pdf,Scotus,38,41,22
78334,568,YouGov,352,The Economist,NA,NA,NA,YouGov,Online Matched Sample,NA,2022-01-22T00:00:00Z,2022-01-25T00:00:00Z,FALSE,NA,156907,1249,rv,NA,rv,FALSE,2025-04-28 19:34:52 UTC,2025-04-28 19:34:52 UTC,NA,https://docs.cdn.yougov.com/idsbkknia1/econTabReport.pdf,NA,NA,https://docs.cdn.yougov.com/idsbkknia1/econTabReport.pdf,Scotus,42,42,16
78377,568,YouGov,352,The Economist,NA,NA,NA,YouGov,Online Matched Sample,NA,2022-01-29T00:00:00Z,2022-02-01T00:00:00Z,FALSE,NA,156908,1500,a,NA,a,FALSE,2025-04-28 19:34:51 UTC,2025-04-28 19:34:51 UTC,NA,https://docs.cdn.yougov.com/o2uq4b0h68/econToplines.pdf,NA,https://docs.cdn.yougov.com/o2uq4b0h68/econToplines.pdf,https://docs.cdn.yougov.com/9uqg6clnvr/econTabReport.pdf,Scotus,39,39,21
