id,name,display_name,partisan,internal,url,classification,notes
5,Associated Industries of Florida,,NA,NA,http://aif.com/,501(c)(6),NA
6,Grassroots Solutions,,NA,NA,https://grassrootssolutions.com/,501(c)(3),NA
8,TSG Consulting,,NA,NA,NA,NA,NA
11,"Travel Industry Association, the National Tour Association, the Travel Business Roundtable",,NA,NA,NA,NA,NA
12,Florida Chamber of Commerce,,REP,NA,https://www.flchamber.com/,501(c)(6),NA
16,South Carolina Coastal Conservation League,,NA,NA,NA,NA,NA
17,Working Californians,,NA,NA,NA,NA,NA
20,Arizona Indian Gaming Association,,NA,NA,NA,NA,NA
21,America Coming Together,,DEM,NA,https://en.wikipedia.org/wiki/America_Coming_Together,NA,NA
22,League of Conservation Voters,,DEM,NA,https://www.lcv.org/,501(c)(4),NA
23,NC Free,,NA,NA,NA,NA,NA
24,DSCC,,DEM,TRUE,https://www.dscc.org/,party committee,NA
25,American Association of Health Plans,,NA,NA,NA,NA,NA
26,Club for Growth,,REP,NA,https://www.clubforgrowth.org/,PAC,NA
27,NRSC,,REP,TRUE,https://www.nrsc.org/,party committee,NA
28,International Conference of Shopping Centers,,NA,NA,NA,NA,NA
29,Republican Governors' Association,,REP,TRUE,https://www.rga.org/,party committee,NA
31,North Carolina Credit Union League,,NA,NA,NA,NA,NA
32,Emily's List,,DEM,NA,https://www.emilyslist.org/,PAC,NA
33,Vanishing Voter Project,,NA,NA,NA,NA,NA
34,American Federation of Teachers,,NA,NA,https://www.aft.org/,union,NA
35,IVillage,,NA,NA,NA,NA,NA
36,Republican Leadership Council,,REP,NA,NA,NA,NA
38,Univision,,NA,NA,https://www.univision.com/,national media,NA
39,"Hubert ""Skip"" Humphrey",,DEM,TRUE,NA,NA,NA
42,AARP,,NA,NA,https://www.aarp.org/,501(c)(4),NA
43,7News/WHDH,,NA,NA,https://whdh.com/,local media,NA
45,Augusta Chronicle,,NA,NA,https://www.augustachronicle.com/,local media,NA
46,KWCH-TV Wichita,,NA,NA,https://www.kwch.com/,local media,NA
47,WMUR,,NA,NA,https://www.wmur.com/,local media,NA
48,WWL-TV,,NA,NA,https://www.wwltv.com/,local media,NA
49,Newsmax,,NA,NA,https://www.newsmax.com/,national media,NA
52,Des Moines Register,,NA,NA,https://www.desmoinesregister.com/,local media,NA
55,Planned Parenthood,,NA,NA,NA,NA,NA
57,Sodexho USA,,NA,NA,NA,NA,NA
62,AFL-CIO,,DEM,NA,https://aflcio.org/,union,NA
65,16-largest-states,,NA,NA,NA,NA,NA
68,Boston Globe,,NA,NA,https://www.bostonglobe.com/,local media,NA
69,Watchdog.org,,NA,NA,https://www.thecentersquare.com/,national media,NA
71,Reuters,,NA,NA,https://www.reuters.com/,national media,NA
72,Sunshine State News,,NA,NA,https://www.sunshinestatenews.com/,local media,NA
73,Justice At Stake,,NA,NA,https://www.brennancenter.org/our-work/research-reports/resources-justice-stake,501(c)(4),NA
74,Savannah Morning News,,NA,NA,https://www.savannahnow.com/,local media,NA
76,First Coast News,,NA,NA,https://www.firstcoastnews.com/,local media,NA
78,WFLA-TV,,NA,NA,https://www.wfla.com/,local media,NA
79,Rocky Mountain Poll,,NA,NA,https://brc-research.com/rocky-mountain-poll/,research institution,NA
80,Alabama Education Association,,NA,NA,https://myaea.org/,501(c)(3),NA
83,WBUR,,NA,NA,https://www.wbur.org/,local media,NA
84,KSTP-TV Minneapolis,,NA,NA,https://kstp.com/,local media,NA
85,WZZM 13,,NA,NA,https://www.wzzm13.com/,local media,NA
86,Tulsa World,,NA,NA,https://tulsaworld.com/,local media,NA
90,WSB-TV,,NA,NA,https://www.wsbtv.com/,local media,NA
93,WFLD-FOX 32 Chicago,,NA,NA,https://www.fox32chicago.com/,local media,NA
94,Marylanders for Marriage Equality,,NA,NA,http://www.marylandersformarriageequality.org/,other political entity,NA
96,Bloomberg,,NA,NA,https://www.bloomberg.com/,national media,NA
