poll_id,pollster_id,pollster,sponsor_ids,sponsors,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,display_name,mode,state,start_date,end_date,internal,partisan,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,updated_at,notes,url,url_article,url_topline,url_crosstab,politician_id,politician,yes,no,alternate_answers
89524,568,YouGov,352,The Economist,NA,NA,NA,YouGov,Online Matched Sample,NA,2025-01-26T00:00:00Z,2025-01-28T00:00:00Z,FALSE,NA,217862,1376,rv,NA,rv,FALSE,2025-04-28 19:33:00 UTC,2025-04-28 19:33:00 UTC,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_m8tctwx.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_m8tctwx.pdf,13265,JD Vance,44,40,16
89524,568,YouGov,352,The Economist,NA,NA,NA,YouGov,Online Matched Sample,NA,2025-01-26T00:00:00Z,2025-01-28T00:00:00Z,FALSE,NA,217861,1577,a,NA,a,FALSE,2025-04-28 19:33:00 UTC,2025-04-28 19:33:00 UTC,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_HmzVWgj.pdf,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_HmzVWgj.pdf,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_m8tctwx.pdf,13265,JD Vance,40,37,23
90077,1416,HarrisX,400,Deseret News,NA,NA,NA,HarrisX,Online Opt-In Panel,NA,2025-02-14T00:00:00Z,2025-02-15T00:00:00Z,FALSE,NA,219737,1009,rv,NA,rv,FALSE,2025-06-16 19:55:58 UTC,2025-06-16 19:55:58 UTC,NA,https://www.harrisx.com/content/deseret-news-harrisx-overnight-poll-executive-orders-and-immigration-february-2025,NA,NA,https://www.harrisx.com/content/deseret-news-harrisx-overnight-poll-executive-orders-and-immigration-february-2025,13265,JD Vance,46,39,15
89640,770,TIPP,2085,League of American Workers,NA,NA,NA,TIPP Insights,Online Opt-In Panel,NA,2025-03-04T00:00:00Z,2025-03-06T00:00:00Z,FALSE,REP,218950,1720,rv,NA,rv,FALSE,2025-04-29 15:40:54 UTC,2025-04-29 15:40:54 UTC,NA,https://tippinsights.com/league-of-american-workers-poll-march-2025/#google_vignette,https://tippinsights.com/league-of-american-workers-poll-march-2025/#google_vignette,NA,NA,13265,JD Vance,37,44,19
89649,396,Quinnipiac,NA,NA,NA,NA,NA,Quinnipiac University,Live Phone,NA,2025-03-06T00:00:00Z,2025-03-10T00:00:00Z,FALSE,NA,218951,1198,rv,NA,rv,FALSE,2025-04-29 15:40:54 UTC,2025-04-29 15:40:54 UTC,NA,https://poll.qu.edu/poll-release?releaseid=3921,NA,NA,https://poll.qu.edu/poll-release?releaseid=3921,13265,JD Vance,41,49,10
89659,1597,Beacon/Shaw,149,Fox News,NA,NA,NA,Beacon Research/Shaw & Co. Research,Live Phone/Text-to-Web,NA,2025-03-14T00:00:00Z,2025-03-17T00:00:00Z,FALSE,NA,218952,994,rv,NA,rv,FALSE,2025-04-29 15:40:55 UTC,2025-04-29 15:40:55 UTC,NA,https://www.foxnews.com/politics/fox-news-poll-trump-republicans-record-high-ratings-democrats-falter,https://www.foxnews.com/politics/fox-news-poll-trump-republicans-record-high-ratings-democrats-falter,https://static.foxnews.com/foxnews.com/content/uploads/2025/03/fox_march-14-17-2025_national_topline_march-19-release.pdf,https://static.foxnews.com/foxnews.com/content/uploads/2025/03/fox_march-14-17-2025_national_cross-tabs_march-19-release.pdf,13265,JD Vance,45,53,3
89699,770,TIPP,2085,League of American Workers,NA,NA,NA,TIPP Insights,Online Opt-In Panel,NA,2025-04-07T00:00:00Z,2025-04-09T00:00:00Z,FALSE,REP,218953,1570,rv,NA,rv,FALSE,2025-04-29 15:40:55 UTC,2025-04-29 15:40:55 UTC,NA,https://tippinsights.com/league-of-american-workers-poll-april-2025/,https://tippinsights.com/league-of-american-workers-poll-april-2025/,NA,NA,13265,JD Vance,38,44,18
89718,1597,Beacon/Shaw,149,Fox News,NA,NA,NA,Beacon Research/Shaw & Co. Research,Live Phone/Text-to-Web,NA,2025-04-18T00:00:00Z,2025-04-21T00:00:00Z,FALSE,NA,218954,1104,rv,NA,rv,FALSE,2025-04-29 15:40:56 UTC,2025-04-29 15:40:56 UTC,NA,https://www.foxnews.com/official-polls/fox-news-poll-first-100-days-president-trumps-second-term,https://www.foxnews.com/official-polls/fox-news-poll-first-100-days-president-trumps-second-term,https://static.foxnews.com/foxnews.com/content/uploads/2025/04/fox_april-18-21-2025_national_topline_april-23-release.pdf,https://static.foxnews.com/foxnews.com/content/uploads/2025/04/fox_april-18-21-2025_national_cross-tabs_april-23-release.pdf,13265,JD Vance,42,51,8
89732,568,YouGov,2167,The Times of London,NA,NA,NA,YouGov,Online Matched Sample,NA,2025-04-21T00:00:00Z,2025-04-23T00:00:00Z,FALSE,NA,218957,948,rv,NA,rv,FALSE,2025-04-29 15:40:57 UTC,2025-04-29 15:40:57 UTC,NA,https://www.thetimes.com/us/american-politics/article/trump-polls-100-days-approval-3bxfj8k0z,https://www.thetimes.com/us/american-politics/article/trump-polls-100-days-approval-3bxfj8k0z,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf,13265,JD Vance,42,49,9
89732,568,YouGov,2167,The Times of London,NA,NA,NA,YouGov,Online Matched Sample,NA,2025-04-21T00:00:00Z,2025-04-23T00:00:00Z,FALSE,NA,218956,1296,a,NA,a,FALSE,2025-04-29 15:40:56 UTC,2025-04-29 15:40:56 UTC,NA,https://www.thetimes.com/us/american-politics/article/trump-polls-100-days-approval-3bxfj8k0z,https://www.thetimes.com/us/american-politics/article/trump-polls-100-days-approval-3bxfj8k0z,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/times_20250425.pdf,13265,JD Vance,37,46,17
